season,fpl_code,element,player_name,position,team_name
2026-27,248056,345,Tanaka,MID,Leeds
2026-27,248857,16,Madueke,MID,Arsenal
2026-27,248875,400,Doku,MID,Man City
2026-27,249231,86,Lewis-Potter,MID,Brentford
2026-27,250199,487,Dominguez,MID,Nott'm Forest
2026-27,424876,368,Szoboszlai,MID,Liverpool
2026-27,427623,202,Richards,DEF,Crystal Palace
2026-27,427637,337,Aaronson,MID,Leeds
2026-27,428580,104,Onyeka,MID,Coventry City
2026-27,430871,428,Cunha,MID,Man Utd
2026-27,432422,455,Tonali,MID,Spurs
2026-27,432714,486,McAtee,MID,Nott'm Forest
2026-27,432720,385,Trafford,GKP,Leeds
2026-27,432830,84,Collins,DEF,Brentford
2026-27,432987,354,Jaros,GKP,Liverpool
2026-27,433036,404,Reijnders,MID,Man City
2026-27,433154,241,McNeil,MID,Everton
2026-27,433590,281,Drameh,DEF,Hull City
2026-27,434399,536,Reinildo,DEF,Sunderland
2026-27,434752,327,Bijol,DEF,Leeds
2026-27,435997,336,Okafor,MID,Leeds
2026-27,436761,174,Kitching,DEF,Coventry City
2026-27,436893,65,J.Araujo,DEF,Bournemouth
2026-27,437495,3,Meslier,GKP,Arsenal
2026-27,437499,200,Lacroix,DEF,Chelsea
2026-27,437505,553,Isidor,FWD,Sunderland
2026-27,437730,397,Semenyo,MID,Man City
2026-27,437738,333,Bornauw,DEF,Leeds
2026-27,438098,23,Fábio Vieira,MID,Arsenal
2026-27,438234,401,Marmoush,FWD,Man City
2026-27,438464,218,Doucouré,MID,Crystal Palace
2026-27,439509,557,Tzolis,MID,Arsenal
2026-27,439668,187,Eccles,MID,Coventry City
2026-27,440089,96,Damsgaard,MID,Brentford
2026-27,440993,237,Ndiaye,MID,Everton
2026-27,441164,499,Pedro Porro,DEF,Spurs
2026-27,441191,450,Livramento,DEF,Newcastle
2026-27,441264,552,Brobbey,FWD,Sunderland
2026-27,441266,371,Gravenberch,MID,Liverpool
2026-27,441302,36,Maatsen,DEF,Aston Villa
2026-27,442967,562,Maeda,MID,Ipswich Town
2026-27,443261,313,Clarke,MID,Ipswich Town
2026-27,444102,79,Evanilson,FWD,Bournemouth
2026-27,444145,18,Martinelli,MID,Arsenal
2026-27,444172,59,Dennis,GKP,Bournemouth
2026-27,444180,105,Anthony,MID,Brentford
2026-27,444307,276,Lo-Tutala,GKP,Hull City
2026-27,444463,145,Fofana,DEF,Chelsea
2026-27,444765,85,Van den Berg,DEF,Brentford
2026-27,444884,383,Elliott,MID,Liverpool
2026-27,445028,563,Morita,MID,Hull City
2026-27,445044,521,Kulusevski,MID,Spurs
2026-27,445122,5,J.Timber,DEF,Arsenal
2026-27,446008,427,Mbeumo,MID,Man Utd
2026-27,448047,155,Enzo,MID,Chelsea
2026-27,448089,54,Gomes,MID,Aston Villa
2026-27,448104,9,Hincapie,DEF,Arsenal
2026-27,448514,392,Aït-Nouri,DEF,Man City
2026-27,449027,351,Mamardashvili,GKP,Liverpool
2026-27,449428,283,Jacob,DEF,Hull City
2026-27,449429,306,Greaves,DEF,Ipswich Town
2026-27,449434,454,Elanga,MID,Newcastle
2026-27,449871,48,Onana,MID,Aston Villa
2026-27,450542,219,J.Rak-Sakyi,MID,Crystal Palace
2026-27,451284,175,van Ewijk,DEF,Coventry City
2026-27,451302,413,Bayindir,GKP,Man Utd
2026-27,451340,121,Mitoma,MID,Brighton
2026-27,451490,119,Costinha,DEF,Brighton
2026-27,454490,120,Svoboda,DEF,Brighton
2026-27,455084,305,Davis,DEF,Ipswich Town
2026-27,456512,483,Ndoye,MID,Nott'm Forest
2026-27,457569,57,Petrović,GKP,Bournemouth
2026-27,458249,440,Zirkzee,FWD,Man Utd
2026-27,460028,149,Colwill,DEF,Chelsea
2026-27,460842,512,Kudus,MID,Spurs
2026-27,461102,173,Thomas,DEF,Coventry City
