season,fpl_code,element,player_name,position,team_name,understat_id,understat_player_name,mapping_status,confidence,source
2026-27,223434,118,Igor,DEF,Brighton,7943,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,223541,370,Chiesa,MID,Liverpool,1433,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,223723,577,Tomiyasu,DEF,Crystal Palace,7931,,mapped,LOW,smartplayfpl_mapping_release
2026-27,223827,532,Ballard,DEF,Sunderland,13715,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,224117,25,Gyökeres,FWD,Arsenal,7254,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,224967,233,Mykolenko,DEF,Everton,10291,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,225796,142,James,DEF,Chelsea,8067,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,226182,330,Bogle,DEF,Leeds,9205,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,226597,4,Gabriel,DEF,Arsenal,5613,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,226944,47,Kamara,MID,Aston Villa,5789,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,226965,188,Torp,MID,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,227444,471,Milenković,DEF,Nott'm Forest,6174,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,229164,314,Ogbene,MID,Ipswich Town,11719,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,229600,227,Travers,GKP,Everton,7582,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,230001,422,Mazraoui,DEF,Man Utd,10696,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,230730,194,Thomas-Asante,FWD,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,231065,91,Pinnock,DEF,Brentford,9678,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,231416,113,F.Kadıoğlu,DEF,Brighton,13066,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,231747,223,Mateta,FWD,Crystal Palace,5735,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,231899,312,Taylor,MID,Ipswich Town,12754,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232112,433,Ugarte,MID,Man Utd,11766,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232185,208,Sarr,MID,Crystal Palace,5675,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232351,282,Giles,DEF,Hull City,7277,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232413,14,Eze,MID,Arsenal,8706,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232457,324,Mehmeti,MID,Ipswich Town,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,232571,530,Patterson,GKP,Sunderland,13721,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,232653,456,J.Ramsey,MID,Newcastle,8941,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232787,519,Gallagher,MID,Spurs,9040,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232859,505,Spence,DEF,Spurs,10764,,mapped,HIGH,smartplayfpl_mapping_release
